title,view_num,likes
"现在吃个鱼已经这么复杂了吗！", 254904, 15098,
"母女街头卖“脆皮小熊”，5斤重卖1000元，烤40分钟，食客耐心等", 317990, 4494,
"要不是怕爸妈揍我，年三十我能摆一整桌罐头", 203385, 19609,
"为了伺候皇帝蟹，我是三天三夜没合眼", 1210095, 79002,
"2022第一顿，鸿运当头2.0，一斤辣椒配一斤猪拱嘴，吃出新花样", 216073, 14736,
"当你的泥岩蛋糕防御太高", 159981, 23820,
"辣酱里找米粉！新年第一餐在成都怀念新疆特色～", 194123, 15895,
"在法国雪山上做一顿中国年夜饭。", 239140, 26186,
"一天的好心情从一碗热粥开始，暖暖的，很贴心", 2698319, 190670,
"到底是谁发明的麻酱饺子，怎么这么好吃，一口一个停不下来", 154839, 4848,
"这就是上海面之天花板？", 194097, 16263,
"【原魔料理】美味的无相之冰", 142895, 15636,
"昔日战友来探望，九味黄鱼全奉上！", 217782, 12401,
"这玩意儿凭什么销量过百万！！！", 1083184, 40251,
"我井底之蛙了！原来北方的烧麦那么好吃！", 182432, 12815,
"老奶奶买来1000包泡面，拆开全是“橡皮筋”，你不得不佩服印度人", 410494, 2805,
"感谢网友，让我从此告别奶茶店！", 215979, 3939,
"有一种螃蟹，人们只敢吃蟹钳，吃一整只会引来“牢狱之灾”", 3899170, 8716,
"试吃大连虾怪！没想到世间还有如此美味！！！", 547909, 47706,
"啊啊啊天花板烧烤店！！一天一顿小烧烤，生活滋味真美好！", 192546, 13123,
"😂这可能跨年料理中的天花板了！", 272638, 20328,
"陕西瓤皮做法，前面洗面凉皮把大家难住了，发一个陕西传统瓤皮，一样劲道美的很。", 146149, 9903,
"在我们家，还是男士做饭受欢迎", 166385, 16110,
