title,view_num,likes
"【星瞳丨原创编舞】绝世舞姬国风专场丨国风舞三连纯享版", 25094, 3926,
"别再说是跳皮筋了，咱这是正宗欧美小舞种！", 287531, 27722,
"精彩回顾 与君共舞！【舞千年】四朝十三支舞团大赏！", 191105, 1260,
"超！文艺复兴！【娜娜】凉宫春日团长舞？！2022年啦！［生日作］晴天好心情！", 45956, 2948,
"文艺汇演跳《悦神》！我们也成为别人眼中的学校啦！！天官赐福，百无禁忌！", 47257, 5526,
"永远是少女时代！淘气翻跳少时十周年回归主打ALL NIGHT！", 56537, 3566,
"不爱数节奏的同学来学习卡歌词版本吧", 357330, 18567,
"运镜兄妹互换角色！嘎舞强强掌镜的'Dreams Come True'！", 42575, 5830,
"关于我在新年班会上跳了小鹿乱撞这件事ε-(´∀｀; )", 46239, 2739,
"【孝曦曦】我能成为你的No.1吗？⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄", 19412, 3007,
"【情侣版】改 革 春 风 吹 满 地", 123896, 11373,
"蕾｜完整版保姆级详细教程Aespa Dreams come true", 18404, 929,
"当太空步第一次现世时，全场起立尖叫不止！农村小伙致敬杰克逊", 186124, 10151,
"永州一中2022元旦文艺汇演 《破阵》", 37806, 3883,
"【去灰版】李泰容+李帝努+黄冠亨+刘扬扬+内永绘里_合作舞台Zoo_", 37705, 1779,
"【ITZY】挖槽！好燃！未公开歌曲weapon舞蹈练习室！", 39196, 2078,
"《新宝岛》", 68465, 2211,
