title,view_num,likes
"解决PSD文件过大只需要一步！", 33688, 1573,
"男子展示古风电脑机箱，看着古风电脑机箱，开机键位置成迷", 285489, 8340,
"「花生」我买我开心，你买必后悔/索尼Xperia PRO-I深测", 177209, 13816,
"atm机里面有钱吗", 865712, 13302,
"中国政府特供系统- Windows 10神州网信政府版", 104698, 2033,
"小米12 Pro上手体验：能压住骁龙8Gen1吗？", 740419, 40156,
"手机简史，昔日的巨头如今都怎么样了", 98713, 13864,
"三千块，我让30年的兄弟反目成仇", 440319, 35672,
"大学生把1600元现金夹在书里，寄给华强北背包客，换一台小米10！", 870832, 2854,
"用了两年的鼠标突然发现……", 138419, 5383,
"30个不为人知的iPhone隐藏功能，一定有你不知道的！", 53697, 3307,
"这四个齿轮实验，到底说明了什么问题", 679404, 13753,
"爆肝6个月，我自制的浏览器主页迎来今年最大更新！", 910645, 69974,
"68岁盲人戴上仿生眼镜，10年后再次“看见”妻子……仿生眼镜，你知道多少？", 226762, 17326,
"Kindle官方店关张、团队被砍，你的泡面盖子要凉了？", 149363, 2086,
"有个人躲在里面拼命锉，都锉出火星子了", 89381, 1955,
"有没有可能你老婆其实是个男人？", 42878, 7040,
"爬虫写得好，牢饭吃得早！【晓舟报告直播】", 1139579, 60451,
"相 机 大 战", 5065311, 414373,
"苏炳添和雷军赛跑，雷军不小心摔了，小米活动这体育课上的挺有意思的！", 283917, 4550,
"培训机构不想让你知道的10个刷题网站，一年帮你省下几万块", 353894, 21844,
"【硬件内幕】因为打击咸鱼假货！我被RS威胁？", 57627, 6715,
